travel_time,travel_from,car_type,max_capacity,number_of_tickets,hours_daytime,minutes_daytime,days of week,year,minute
435,370.4,49,49,1.0,7,15,1,2017,10
432,370.4,49,49,1.0,7,12,6,2017,11
425,279.4,49,49,1.0,7,5,6,2017,11
430,361.8,49,49,5.0,7,10,0,2017,11
432,370.4,49,49,31.0,7,12,0,2017,11
429,361.8,49,49,26.0,7,9,0,2017,11
310,305.1,11,11,1.0,5,10,4,2018,4
590,305.1,11,11,1.0,9,50,4,2018,4
426,305.1,49,49,2.0,7,6,4,2018,4
360,305.1,11,11,1.0,6,0,4,2018,4
350,305.1,11,11,1.0,5,50,4,2018,4
658,305.1,11,11,1.0,10,58,4,2018,4
410,305.1,11,11,2.0,6,50,4,2018,4
330,305.1,11,11,1.0,5,30,4,2018,4
400,305.1,11,11,2.0,6,40,4,2018,4
426,279.4,49,49,3.0,7,6,0,2017,11
550,305.1,11,11,1.0,9,10,4,2018,4
300,305.1,11,11,2.0,5,0,3,2018,4
320,305.1,11,11,11.0,5,20,3,2018,4
652,279.4,11,11,3.0,10,52,0,2017,11
310,305.1,11,11,11.0,5,10,3,2018,4
650,279.4,11,11,1.0,10,50,0,2017,11
426,305.1,49,49,2.0,7,6,3,2018,4
651,305.1,11,11,1.0,10,51,3,2018,4
435,305.1,11,11,1.0,7,15,3,2018,4
500,305.1,11,11,1.0,8,20,3,2018,4
330,305.1,11,11,1.0,5,30,3,2018,4
310,305.1,11,11,1.0,5,10,2,2018,4
300,305.1,11,11,1.0,5,0,2,2018,4
426,305.1,49,49,1.0,7,6,2,2018,4
400,305.1,11,11,2.0,6,40,2,2018,4
500,305.1,11,11,1.0,8,20,2,2018,4
1143,305.1,49,49,1.0,19,3,2,2018,4
330,305.1,11,11,1.0,5,30,2,2018,4
320,305.1,11,11,1.0,5,20,1,2018,4
422,305.1,49,49,1.0,7,2,1,2018,4
400,305.1,11,11,2.0,6,40,1,2018,4
410,305.1,11,11,1.0,6,50,1,2018,4
426,305.1,49,49,1.0,7,6,1,2018,4
390,305.1,11,11,1.0,6,30,1,2018,4
440,305.1,11,11,1.0,7,20,1,2018,4
330,305.1,11,11,1.0,5,30,1,2018,4
310,305.1,11,11,1.0,5,10,0,2018,4
300,305.1,11,11,1.0,5,0,0,2018,4
426,305.1,49,49,1.0,7,6,0,2018,4
424,305.1,49,49,1.0,7,4,0,2018,4
1145,305.1,49,49,1.0,19,5,0,2018,4
435,305.1,11,11,1.0,7,15,0,2018,4
330,305.1,11,11,1.0,5,30,0,2018,4
320,305.1,11,11,11.0,5,20,6,2018,4
300,305.1,11,11,4.0,5,0,6,2018,4
